source_id,name,layer,domain,status,owner,primary_url,data_access,machine_readable,primary_metrics,uncertainty_or_runs,license_or_terms,ingestion_tier,freshness,materialized_in_sample,notes
openrouter_models,OpenRouter Model Catalog,deployment,pricing and routing,active,OpenRouter,https://openrouter.ai/models,public API,yes,"input/output price, context, modality","store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Provider-specific deployment records; aliases change over time.
openai_pricing,OpenAI API Pricing,deployment,pricing,active,OpenAI,https://openai.com/api/pricing/,official web page,partial,"input, cached input, output price","store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Authoritative provider price; snapshot effective date.
anthropic_pricing,Anthropic API Pricing,deployment,pricing,active,Anthropic,https://docs.anthropic.com/en/docs/about-claude/pricing,official documentation,partial,"input, cache, output price","store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Authoritative provider price; tier/context rules must be modeled.
google_pricing,Google Gemini API Pricing,deployment,pricing,active,Google,https://ai.google.dev/gemini-api/docs/pricing,official documentation,partial,"input, cached input, output price","store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Long-context and batch tiers require separate records.
fireworks_pricing,Fireworks AI Pricing,deployment,pricing,active,Fireworks AI,https://fireworks.ai/pricing,official web page,partial,token and serverless pricing,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Serving-provider economics; model quality comes from other sources.
swe_bench,SWE-bench Leaderboard,agent system,software engineering,active,SWE-bench,https://www.swebench.com/,public leaderboard/GitHub,yes,resolved issue percentage,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Score belongs to model + scaffold + tools + inference budget.
swe_bench_verified,SWE-bench Verified,agent system,software engineering,active,SWE-bench,https://www.swebench.com/,public leaderboard/HF dataset,yes,resolved issue percentage,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Human-validated subset; preserve harness version.
swe_lancer,SWE-Lancer,agent system,freelance software engineering,active,OpenAI,https://openai.com/index/swe-lancer/,GitHub/dataset,yes,earned value and task success,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Measures realistic engineering tasks and economic value.
livecodebench,LiveCodeBench,model,competitive programming,active,LiveCodeBench,https://livecodebench.github.io/leaderboard.html,public JSON/repository,yes,pass@k and contest rating,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Time-windowed to reduce contamination.
evalplus,EvalPlus Leaderboard,model,code generation,active,EvalPlus,https://evalplus.github.io/leaderboard.html,public JSON/GitHub,yes,HumanEval+/MBPP+ pass@1,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Expanded hidden tests improve rigor over original suites.
bigcode_leaderboard,BigCode Models Leaderboard,model,code generation,active,BigCode,https://huggingface.co/spaces/bigcode/bigcode-models-leaderboard,HF Space/dataset,yes,multi-language pass@1,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Open code models.
aider_polyglot,Aider Polyglot Leaderboard,agent system,code editing,active,Aider,https://aider.chat/docs/leaderboards/,public result files,yes,"exercise pass rate, cost","store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Includes edit format and agent/tool behavior.
terminal_bench,Terminal-Bench,agent system,terminal tasks,active,Terminal-Bench,https://www.tbench.ai/leaderboard,public leaderboard/HF dataset,yes,task success,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Environment and agent harness materially affect score.
bfcl,Berkeley Function Calling Leaderboard,model,tool/function calling,active,Berkeley Gorilla,https://gorilla.cs.berkeley.edu/leaderboard.html,public dataset/repository,yes,accuracy by function-calling category,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Tool schema and execution mode must be versioned.
toolbench,ToolBench,agent system,tool use,maintenance,OpenBMB,https://github.com/OpenBMB/ToolBench,GitHub benchmark/results,yes,success and preference metrics,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Benchmark/harness rather than a continuously refreshed leaderboard.
tau_bench,τ-bench,agent system,customer-service tool use,active,Sierra,https://tau-bench.com/,public leaderboard/repository,yes,pass rate,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Multi-turn tool-use with policy constraints.
tau2_bench,τ2-bench,agent system,multi-agent tool use,active,Sierra,https://github.com/sierra-research/tau2-bench,GitHub results,yes,pass rate,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Newer protocol; never merge raw scores with τ-bench.
gaia,GAIA Leaderboard,agent system,general assistants,active,GAIA,https://huggingface.co/spaces/gaia-benchmark/leaderboard,HF Space/dataset,yes,accuracy by difficulty,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Web/tool agent benchmark.
appworld,AppWorld Leaderboard,agent system,API-based app tasks,active,AppWorld,https://appworld.dev/leaderboard,public leaderboard/repository,partial,task and scenario success,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Scaffold and environment versions are essential.
osworld,OSWorld,agent system,computer use,active,OSWorld,https://os-world.github.io/,public leaderboard/repository,yes,task success,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Desktop environment benchmark.
webarena,WebArena,agent system,web navigation,active,WebArena,https://webarena.dev/,public leaderboard/repository,yes,task success,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Website state and evaluator version affect comparability.
browsergym,BrowserGym / WorkArena,agent system,browser and enterprise tasks,active,ServiceNow Research,https://github.com/ServiceNow/BrowserGym,GitHub benchmark/results,yes,task success,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Unified browser-agent environment.
agentbench,AgentBench,agent system,cross-environment agents,maintenance,THUDM,https://github.com/THUDM/AgentBench,GitHub benchmark/results,yes,environment-level success,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Cross-domain agent benchmark.
deep_research_bench,DeepResearch Bench,agent system,deep research,active,DeepResearch Bench,https://huggingface.co/spaces/muset-ai/DeepResearch-Bench-Leaderboard,public CSV/HF Space,yes,"overall, comprehensiveness, insight, instruction following, readability, citations","store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,yes,System-level report and citation quality; base model often undisclosed.
deep_research_bench_ii,DeepResearch Bench II,agent system,deep research,active,DeepResearch Bench II,https://agentresearchlab.com/benchmarks/deepresearch-bench-ii/index.html,project data/repository,partial,rubric-weighted task quality,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,132 tasks and fine-grained rubrics; use protocol version II.
researchrubrics,ResearchRubrics,agent system,deep research,active,ResearchRubrics,https://researchrubrics.github.io/,project data/repository,partial,rubric satisfaction and report quality,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Evaluates research reports with task-specific rubrics.
browsecomp,BrowseComp,agent system,web research,active,OpenAI,https://github.com/openai/simple-evals,dataset/evaluation code,yes,exact-match accuracy,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Difficult browsing tasks; usually requires running the harness.
browsecomp_plus,BrowseComp-Plus,agent system,web research,active,BrowseComp-Plus,https://github.com/texttron/BrowseComp-Plus,GitHub dataset/results,yes,accuracy and citation-related variants,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Expanded browsing evaluation.
mteb,Massive Text Embedding Benchmark,model,retrieval and embeddings,active,MTEB,https://huggingface.co/spaces/mteb/leaderboard,HF API/dataset,yes,"retrieval, classification, clustering metrics","store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,"Embedding models, not generative LLMs; retain model type."
beir,BEIR,model,information retrieval,maintenance,UKP Lab,https://github.com/beir-cellar/beir,GitHub benchmark/results,yes,nDCG@10 and retrieval metrics,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Retrieval component signal for RAG systems.
longbench,LongBench,model,long-context,active,LongBench,https://github.com/THUDM/LongBench,GitHub results,yes,task aggregate,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Context length alone is not effective-context quality.
qfbench,QFBench,agent system,quantitative finance,active,QFBench,https://qfbench.com/,public leaderboard,partial,"pass@1, pass@3","store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,yes,Verifiable quantitative finance tasks run through coding-agent scaffolds.
helm_finance,HELM Finance,model,finance,maintenance,Stanford CRFM,https://crfm.stanford.edu/helm/finance/latest/,static site/GitHub artifacts,partial,finance scenario metrics,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Document QA and finance-specific evaluation.
finos_open_financial,FINOS Open Financial LLM Leaderboard,model,finance,active,FINOS / Linux Foundation,https://huggingface.co/finos,HF datasets/Spaces,yes,financial task aggregates,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Open financial evaluation ecosystem.
open_finllm,Open FinLLM Leaderboard,model,finance,active,FinGPT community,https://huggingface.co/spaces/FinGPT/Open-FinLLMs-Leaderboard,HF Space/dataset,yes,financial NLP task scores,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Check dataset leakage and task-version metadata.
financearena,FinanceArena,model and agent system,finance,active,FinanceArena,https://financearena.ai/,public leaderboard,partial,FinanceQA and pairwise FinanceCompare,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Includes finance QA and preference comparisons.
bizfinbench,BizFinBench,agent system,business and finance,active,BizFinBench,https://github.com/HiThink-Research/BizFinBench,GitHub dataset/results,yes,task success and domain metrics,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Realistic business and finance queries.
fintradebench,FinTradeBench,model,financial trading reasoning,active,FinTradeBench,https://arxiv.org/abs/2603.19225,paper/dataset,partial,question accuracy by trading topic,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,C,as published; snapshot every ingest,no,Research benchmark; result ingestion may require paper tables.
finqa,FinQA,model,financial numerical reasoning,maintenance,FinQA,https://github.com/czyssrs/FinQA,GitHub dataset/results,yes,execution and program accuracy,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Financial reports with numerical reasoning.
convfinqa,ConvFinQA,model,conversational financial reasoning,maintenance,ConvFinQA,https://github.com/czyssrs/ConvFinQA,GitHub dataset/results,yes,execution and answer accuracy,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Multi-turn financial numerical reasoning.
tatqa,TAT-QA,model,table-and-text financial QA,maintenance,TAT-QA,https://github.com/NExTplusplus/TAT-QA,GitHub dataset/results,yes,exact match and F1,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Hybrid tables and prose.
finben,FinBen,model,financial language understanding,active,FinBen,https://github.com/The-FinAI/PIXIU,GitHub dataset/results,yes,multi-task aggregate,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Financial benchmark suite.
fingpt_benchmark,FinGPT Benchmark,model,financial NLP,active,FinGPT,https://github.com/AI4Finance-Foundation/FinGPT,GitHub results,partial,"sentiment, QA and forecasting tasks","store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Suite and model project; preserve exact task selection.
financebench,FinanceBench,model,financial document QA,active,Patronus AI,https://github.com/patronus-ai/financebench,GitHub dataset/results,yes,answer and citation correctness,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Public-company filings QA.
airbench_safety,AIR-Bench 2024,model,AI safety,active,Stanford CRFM / MLCommons,https://github.com/stanford-crfm/air-bench-2024,GitHub/HELM artifacts,yes,refusal and safety risk metrics,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Safety evaluation; category-specific tradeoffs should remain visible.
harmbench,HarmBench,model,AI safety,active,Center for AI Safety,https://www.harmbench.org/,public leaderboard/repository,yes,attack success and refusal metrics,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Standardized automated red teaming.
jailbreakbench,JailbreakBench,model,AI safety,active,JailbreakBench,https://jailbreakbench.github.io/,public leaderboard/repository,yes,attack success and defense metrics,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Adversarial prompt evaluation.
strongreject,StrongREJECT,model,AI safety,active,StrongREJECT,https://github.com/dsbowen/strong_reject,GitHub benchmark/results,yes,refusal quality and harmfulness,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Fine-grained refusal evaluation.
safetybench,SafetyBench,model,AI safety,active,SafetyBench,https://github.com/thu-coai/SafetyBench,GitHub benchmark/results,yes,multiple-choice safety accuracy,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Safety knowledge is distinct from behavioral robustness.
open_vlm_leaderboard,Open VLM Leaderboard,model,multimodal,active,Hugging Face,https://huggingface.co/spaces/opencompass/open_vlm_leaderboard,HF Space/dataset,yes,multimodal benchmark aggregate,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Vision-language models.
mmmu,MMMU,model,multimodal reasoning,active,MMMU,https://mmmu-benchmark.github.io/,public leaderboard/dataset,yes,accuracy,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Expert-level multimodal questions.
mathvista,MathVista,model,visual mathematics,active,MathVista,https://mathvista.github.io/,public leaderboard/dataset,yes,accuracy,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Visual mathematical reasoning.
video_mme,Video-MME,model,video understanding,active,Video-MME,https://video-mme.github.io/home_page.html,public leaderboard/dataset,yes,accuracy by duration/category,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Video-language evaluation.
open_medical_llm,Open Medical LLM Leaderboard,model,medical,active,Hugging Face community,https://huggingface.co/spaces/openlifescienceai/open_medical_llm_leaderboard,HF Space/dataset,yes,medical QA aggregate,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Not a clinical-safety certification.
legalbench,LegalBench,model,legal,active,LegalBench,https://hazyresearch.stanford.edu/legalbench/,GitHub dataset/results,yes,task accuracy/F1,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,B,as published; snapshot every ingest,no,Legal reasoning and classification suite.
lexam,LEXam,model,legal,active,LEXam,https://huggingface.co/datasets/LEXam-Benchmark/LEXam,HF dataset leaderboard,yes,exam accuracy,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Also discoverable through the HF official benchmark API.
open_asr,Open ASR Leaderboard,model,speech recognition,active,Hugging Face,https://huggingface.co/spaces/hf-audio/open_asr_leaderboard,HF Space/dataset,yes,word error rate,"store confidence intervals, run counts, judge and seed when published",source-specific; verify before redistribution,A,as published; snapshot every ingest,no,Speech models; retain modality/type distinctions.
hf_official_openai_gsm8k,HF official benchmark: openai/gsm8k,benchmark dataset,mathematics,active,openai,https://huggingface.co/datasets/openai/gsm8k,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_cais_hle,HF official benchmark: cais/hle,benchmark dataset,general/science,active,cais,https://huggingface.co/datasets/cais/hle,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_scaleai_swe_bench_pro,HF official benchmark: ScaleAI/SWE-bench_Pro,benchmark dataset,coding/agents,active,ScaleAI,https://huggingface.co/datasets/ScaleAI/SWE-bench_Pro,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_idavidrein_gpqa,HF official benchmark: Idavidrein/gpqa,benchmark dataset,general/science,active,Idavidrein,https://huggingface.co/datasets/Idavidrein/gpqa,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_actava_chi_bench,HF official benchmark: actava/chi-bench,benchmark dataset,general/science,active,actava,https://huggingface.co/datasets/actava/chi-bench,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_tiger_lab_mmlu_pro,HF official benchmark: TIGER-Lab/MMLU-Pro,benchmark dataset,general/science,active,TIGER-Lab,https://huggingface.co/datasets/TIGER-Lab/MMLU-Pro,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_allenai_olmocr_bench,HF official benchmark: allenai/olmOCR-bench,benchmark dataset,multimodal/document,active,allenai,https://huggingface.co/datasets/allenai/olmOCR-bench,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_swe_bench_swe_bench_verified,HF official benchmark: SWE-bench/SWE-bench_Verified,benchmark dataset,coding/agents,active,SWE-bench,https://huggingface.co/datasets/SWE-bench/SWE-bench_Verified,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_chrishayduk_nanofold_public,HF official benchmark: ChrisHayduk/nanofold-public,benchmark dataset,cross-domain,active,ChrisHayduk,https://huggingface.co/datasets/ChrisHayduk/nanofold-public,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_likaixin_screenspot_pro,HF official benchmark: likaixin/ScreenSpot-Pro,benchmark dataset,multimodal/document,active,likaixin,https://huggingface.co/datasets/likaixin/ScreenSpot-Pro,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_harborframework_terminal_bench_2_0,HF official benchmark: harborframework/terminal-bench-2.0,benchmark dataset,coding/agents,active,harborframework,https://huggingface.co/datasets/harborframework/terminal-bench-2.0,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
